구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,TSMC,TSMC,Nanjing,Fab 16A,Foundry,China,China,Taiwan,16,Logic,Logic,Logic,EPI,EPI,Epitaxial,대만지사,비메모리,25,25,25,25,25,25,25,25,25,25,25,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
거래고객,Micron,MTTW,Linkou,Fab 11A,IDM,Taiwan,Taiwan,USA,20,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
거래고객,Micron,MTTW,Linkou,Fab 11B,IDM,Taiwan,Taiwan,USA,20,DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,60,60,60,60,60,60,60,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
거래고객,Micron,MMT,Taichung,Fab 16,IDM,Taiwan,Taiwan,USA,"1X, 25",DRAM,DRAM,Memory,PW,Prime,Polished,미국법인,메모리,90,90,90,90,90,90,90,90,86,86,86,86,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
거래고객,MXIC,MXIC,Hsinchu,Fab 5,IDM,Taiwan,Taiwan,Taiwan,"55,75",NOR,NOR,Memory,EPI,EPI,Epitaxial,대만지사,메모리,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
거래고객,MXIC,MXIC,Hsinchu,Fab 5,IDM,Taiwan,Taiwan,Taiwan,"36,19",Nand,Nand,Memory,PW,Anneal,Annealed,대만지사,메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,MXIC,MXIC,Hsinchu,Fab 5,IDM,Taiwan,Taiwan,Taiwan,32,DRAM,DRAM,Memory,PW,Prime,Polished,대만지사,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,10,10,10,10
거래고객,NANYA,Nanya,Taoyuan,Fab 3A,IDM,Taiwan,Taiwan,Taiwan,25,DRAM,DRAM,Memory,PW,Prime,Polished,대만지사,메모리,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
거래고객,NANYA,Nanya,Taoyuan,Fab 5A,IDM,Taiwan,Taiwan,Taiwan,1A/1B,DRAM,DRAM,Memory,PW,Prime,Polished,대만지사,메모리,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,15,15,15,15,30,30,30,30,45,45,45,45
거래고객,PSMC,PSMC,Hsinchu,P1/P2/P3,Foundry,Taiwan,Taiwan,Taiwan,45/25nm,Analog,"RF, NFC, MCU",Analog,EPI,EPI,Epitaxial,대만지사,비메모리,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
