구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,Renesas,Renesas,Hitachinaka,Naka2,IDM,Japan,Japan,Japan,65~130,Logic,Logic,Logic,EPI,EPI,Epitaxial,일본법인,비메모리,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Renesas,Renesas,Hitachinaka,Kofu,IDM,Japan,Japan,Japan,65~130,Discrete,Discrete,Discrete,PW,Prime,Polished,일본법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,4,4,4,4,6,6,6,6
거래고객,Renesas,Renesas,Hitachinaka,Kofu,IDM,Japan,Japan,Japan,65~130,Discrete,Discrete,Discrete,EPI,EPI,Epitaxial,일본법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,1,1,2,2,2,2,2,2,2,2
거래고객,ROHM,Rohm,-,Hamamatsu,IDM,Japan,Japan,Japan,90~180,Logic,Logic,Logic,EPI,EPI,Epitaxial,일본법인,비메모리,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
거래고객,ROHM,Rohm,-,Hamamatsu,IDM,Japan,Japan,Japan,90~180,Logic,Logic,Logic,PW,Prime,Polished,일본법인,비메모리,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
거래고객,SONY,Sony,Kumamoto ,"Tec 1,2",IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919
거래고객,SONY,Sony,Nagasaki ,"Fab 2,3,4",IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,EPI,EPI,Epitaxial,일본법인,비메모리,19.32432432,19.32432432,19.62837838,19.7972973,19.86486486,19.93243243,20,20.06756757,20.2027027,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
거래고객,SONY,Sony,Tsuruoka ,Tsuruoka Plant,IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892
거래고객,SONY,Sony,Oita,-,IDM,Japan,Japan,Japan,90,CIS,BSI,CIS,PW,Anneal,Annealed,일본법인,비메모리,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459
거래고객,SONY,Sony,Nagasaki,"Fab 2,3,4",IDM,Japan,Japan,Japan,,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,30.91891892,30.91891892,32.86486486,33.94594595,34.37837838,34.81081081,35.24324324,35.67567568,36.54054054,32.74324324,33.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324
