Size,Site Name(참고용),구분,Team,Customer,Country,사업,IDM/Foundry,Device,Grade,Grade1,Grade2,본사,Supplier,Usage [2018],,,,,,,,,,,,Usage [2019],,,,,,,,,,,,Usage [2020],,,,,,,,,,,,Usage [2021],,,,,,,,,,,,Usage [2022],,,,,,,,,,,,Usage [2023],,,,,,,,,,,,Usage [2024],,,,,,,,,,,,Usage [2024]
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,메모리,IDM,NAND,PW,Prime,Polished,Korea,Zhonghuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,메모리,IDM,NAND,PW,Prime,Polished,Korea,Subtotal,149.2,125.5,140.8,125.9,132.9,114.3,135.5,134.1,122.2,136.1,135.6,109.5,98.2,85.0,70.0,85.7,103.6,98.1,116.4,106.3,121.4,134.5,152.1,159.4,160.8,167.0,190.0,172.6,206.1,224.4,220.0,218.3,210.0,191.6,191.6,228.0,211.6,180.5,230.1,233.9,272.8,270.9,305.1,299.8,282.9,241.6,292.7,282.0,228.2,273.3,297.7,291.1,303.8,272.0,255.3,296.1,276.0,263.4,266.8,327.4,246.1,260.1,232.9,191.7,184.6,130.7,83.5,40.8,134.7,118.4,141.4,187.1,180.1,202.7,180.5,231.3,263.1,255.1,242.1,239.7,262.0,217.3,220.2,237.5,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,SK,4.2,4.2,4.2,5.2,14.9,3.9,7.9,5.2,6.1,4.1,4.1,6.4,3.7,6.8,1.2,7.5,0.9,2.1,8.6,4.6,11.6,4.1,7.1,7.5,9.4,4.6,8.5,7.5,5.1,5.0,3.2,4.4,3.5,0.6,0.6,2.7,10.5,10.5,9.4,5.3,9.8,12.0,6.2,5.2,3.9,4.8,6.5,12.4,2.1,3.6,5.4,2.1,0.3,3.9,2.4,1.4,3.1,1.8,0.9,2.4,2.7,1.8,4.0,0.3,2.5,0.6,0.9,0.3,1.9,0.3,0.7,0.3,0.7,6.4,3.0,0.9,0.0,0.6,2.1,2.7,3.9,6.3,9.3,8.1,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S2,2.5,2.5,2.5,1.5,0.0,2.1,0.0,0.0,0.3,2.7,0.6,0.9,1.8,0.3,0.0,0.0,0.9,0.3,0.6,1.8,1.8,0.0,1.8,0.0,2.7,0.0,0.9,1.2,1.2,1.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S4,5.3,5.3,5.3,3.5,4.6,3.6,0.8,5.1,2.5,3.9,4.3,2.8,5.9,0.6,4.9,0.6,0.3,4.7,0.3,7.7,4.0,4.0,5.5,2.5,11.0,1.0,0.0,4.0,10.5,7.8,13.2,6.7,5.6,8.4,8.4,6.2,6.3,6.3,6.6,15.0,5.1,1.2,12.0,11.3,12.6,11.0,8.1,10.8,0.0,8.7,11.4,13.8,14.1,13.5,13.8,15.9,9.9,11.4,14.4,15.9,13.5,14.1,12.9,12.3,12.3,12.3,12.3,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Zing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Eswin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
