,Size,Site Name,구분,Team,Customer,Country,사업,IDM/Foundry,Device,Grade,Grade1,Grade2,본사,Supplier,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,Usage [2024]
14,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,S4,5.3,5.3,5.3,3.5,4.6,3.6,0.8,5.1,2.5,3.9,4.3,2.8,5.9,0.6,4.9,0.6,0.3,4.7,0.3,7.7,4.0,4.0,5.5,2.5,11.0,1.0,0.0,4.0,10.5,7.8,13.2,6.7,5.6,8.4,8.4,6.2,6.3,6.3,6.6,15.0,5.1,1.2,12.0,11.3,12.6,11.0,8.1,10.8,0.0,8.7,11.4,13.8,14.1,13.5,13.8,15.9,9.9,11.4,14.4,15.9,13.5,14.1,12.9,12.3,12.3,12.3,12.3,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Zing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Eswin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,AST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,300mm,Samsung(China)_SCS,국내,LC영업팀,SEC,China,Test,IDM,Test,PW,Test,Test,Korea,Zhonghuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,SK,47.0,47.0,47.0,47.0,47.0,47.0,47.0,42.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,38.0,38.0,38.0,45.0,70.0,69.0,62.7,51.9,58.8,64.6,46.4,52.3,44.7,26.4,28.5,57.4,50.8,51.0,45.8,47.0,45.4,32.0,32.0,28.8,32.4,34.4,35.7,38.8,45.6,33.0,33.0,33.0,48.7,42.0,34.1,45.0,39.3,42.8,43.7,55.0,48.5,46.5,35.8,36.0,33.1,41.5,23.9,30.0,38.6,36.0,37.4,19.3,42.5,1.7,8.3,21.1,10.8,18.3,23.3,31.9,29.3,26.5,18.5,18.5,16.6,12.4,12.7,13.9,17.9,
23,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,S2,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,38.0,34.0,34.0,34.0,32.0,32.0,32.0,35.7,15.7,9.2,29.0,32.0,30.0,32.4,24.9,27.2,39.0,34.0,32.0,24.0,24.0,35.0,36.0,36.0,27.2,36.0,36.0,21.0,34.0,30.7,46.5,38.8,38.9,33.0,33.0,33.0,29.0,29.0,42.5,42.8,40.2,21.9,35.0,42.1,50.0,43.3,53.5,47.2,40.3,43.1,34.3,43.3,43.3,53.0,26.7,41.1,39.0,39.6,19.4,20.7,15.9,26.4,31.5,35.6,34.4,29.7,26.0,26.1,21.4,15.3,16.7,15.8,22.9,
25,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,S4,3.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,3.0,3.0,3.0,2.3,2.0,2.0,0.0,2.0,2.0,10.0,8.0,5.0,0.0,25.0,12.0,15.0,18.0,11.0,18.0,10.0,20.0,25.0,25.0,12.0,20.0,25.0,13.0,20.0,20.0,27.0,27.0,27.0,20.0,26.0,21.0,23.3,26.7,23.0,7.8,11.2,8.8,3.8,15.0,15.0,15.0,15.0,15.0,15.0,10.0,11.8,11.8,11.8,11.8,11.8,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,Zing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,Eswin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,AST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,EPI,EPI,Epitaxial,Korea,Zhonghuan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,PW,Prime,Polished,Korea,SK,0.5,0.5,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,3.9,3.9,3.9,4.9,4.9,4.9,5.0,9.2,4.0,6.5,5.6,5.5,7.8,9.7,16.6,7.5,7.8,8.8,8.1,6.2,9.0,8.8,10.0,7.0,10.0,5.3,5.9,10.8,8.7,8.4,6.9,6.2,0.6,5.5,4.5,6.3,3.5,0.3,0.0,0.7,0.0,2.0,5.7,1.0,6.9,5.9,3.2,3.3,1.6,0.0,0.0,13.6,18.7,2.1,0.0,4.0,7.2,5.9,12.8,12.0,12.5,9.7,4.1,6.2,2.6,6.8,6.8,2.5,0.4,6.3,5.3,6.1,
34,300mm,SAS,국내,LC영업팀,SEC,USA,비메모리,Foundry,비메모리,PW,Prime,Polished,Korea,S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
